Grammy,Year,Category,Main Artist,Artist,Cleaned Song or Album,Song or Album,Win,Cleaned Main Artist,Wiki URL,ArtistID,Song ID
59,2016,Record Of The Year,Rihanna,Rihanna Featuring Drake,Work,Work,0,Rihanna,https://en.wikipedia.org/wiki/Rihanna,A843,S90708
59,2016,Record Of The Year,Lukas Graham,Lukas Graham,7 Years,7 Years,0,Lukas Graham,https://en.wikipedia.org/wiki/Lukas_Graham,A1656,S90695
59,2016,Record Of The Year,Beyoncé,Beyoncé,Formation,Formation,0,Beyonce,https://en.wikipedia.org/wiki/Beyonc%C3%A9,A669,S92009
59,2016,Song Of The Year,Adele,Adele,Hello,Hello,1,Adele,https://en.wikipedia.org/wiki/Adele,A1138,S89400
59,2016,Song Of The Year,Lukas Graham,Lukas Graham,7 Years,7 Years,0,Lukas Graham,https://en.wikipedia.org/wiki/Lukas_Graham,A1656,S90695
59,2016,Song Of The Year,Justin Bieber,Justin Bieber,Love Yourself,Love Yourself,0,Justin Bieber,https://en.wikipedia.org/wiki/Justin_Bieber,A1190,S89703
59,2016,Song Of The Year,Mike Posner,Mike Posner,I Took A Pill In Ibiza,I Took A Pill In Ibiza,0,Mike Posner,https://en.wikipedia.org/wiki/Mike_Posner,A1235,S90678
59,2016,Song Of The Year,Beyoncé,Beyoncé,Formation,Formation,0,Beyonce,https://en.wikipedia.org/wiki/Beyonc%C3%A9,A669,S92009
59,2016,Best Rap Song,Drake,Drake,Hotline Bling,Hotline Bling,1,Drake,https://en.wikipedia.org/wiki/Drake_(musician),A1171,S88265
59,2016,Best Rap Song,Kanye West,"Kanye West Featuring Chance The Rapper, Kelly Price, Kirk Franklin & The-Dream",Ultralight Beam,Ultralight Beam,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S91766
59,2016,Best Rap Song,Chance The Rapper,Chance The Rapper Featuring Lil Wayne & 2 Chainz,No Problem,No Problem,0,Chance The Rapper,https://en.wikipedia.org/wiki/Chance_the_Rapper,A1676,S92385
59,2016,Best Rap Song,Kanye West,Kanye West Featuring Rihanna,Famous,Famous,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S91733
59,2016,Best Rap Song,Fat Joe,Fat Joe & Remy Ma Featuring French Montana & Infared,All The Way Up,All The Way Up,0,Fat Joe,https://en.wikipedia.org/wiki/Fat_Joe,A538,S91690
58,2015,Record Of The Year,Mark Ronson,Mark Ronson Featuring Bruno Mars,Uptown Funk,Uptown Funk,1,Mark Ronson,https://en.wikipedia.org/wiki/Mark_Ronson,A1557,S84464
58,2015,Record Of The Year,The Weeknd,The Weeknd,Can'T Feel My Face,Can't Feel My Face,0,The Weeknd,https://en.wikipedia.org/wiki/The_Weeknd,A1395,S87423
58,2015,Record Of The Year,Taylor Swift,Taylor Swift,Blank Space,Blank Space,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,S84217
58,2015,Record Of The Year,Ed Sheeran,Ed Sheeran,Thinking Out Loud,Thinking Out Loud,0,Ed Sheeran,https://en.wikipedia.org/wiki/Ed_Sheeran,A1381,S83968
58,2015,Record Of The Year,D'Angelo,D'Angelo And The Vanguard,Really Love,Really Love,0,Dangelo,https://en.wikipedia.org/wiki/D%27Angelo,A337,S135828
58,2015,Song Of The Year,Ed Sheeran,Ed Sheeran,Thinking Out Loud,Thinking Out Loud,1,Ed Sheeran,https://en.wikipedia.org/wiki/Ed_Sheeran,A1381,S83968
58,2015,Song Of The Year,Wiz Khalifa,Wiz Khalifa Featuring Charlie Puth,See You Again,See You Again,0,Wiz Khalifa,https://en.wikipedia.org/wiki/Wiz_Khalifa,A1266,S86199
58,2015,Song Of The Year,Little Big Town,Little Big Town,Girl Crush,Girl Crush,0,Little Big Town,https://en.wikipedia.org/wiki/Little_Big_Town,A878,S85699
58,2015,Song Of The Year,Taylor Swift,Taylor Swift,Blank Space,Blank Space,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,S84217
58,2015,Song Of The Year,Kendrick Lamar,Kendrick Lamar,Alright,Alright,0,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S86282
58,2015,Best Rap Song,Kendrick Lamar,Kendrick Lamar,Alright,Alright,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S86282
58,2015,Best Rap Song,Fetty Wap,Fetty Wap,Trap Queen,Trap Queen,0,Fetty Wap,https://en.wikipedia.org/wiki/Fetty_Wap,A1574,S85485
58,2015,Best Rap Song,Common,Common & John Legend,Glory,Glory,0,Common,https://en.wikipedia.org/wiki/Common_(rapper),A408,S85391
58,2015,Best Rap Song,Drake,Drake,Energy,Energy,0,Drake,https://en.wikipedia.org/wiki/Drake_(musician),A1171,S85748
58,2015,Best Rap Song,Kanye West,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",All Day,All Day,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S86014
57,2014,Record Of The Year,Sam Smith,Sam Smith,Stay With Me,Stay With Me (Darkchild Version),1,Sam Smith,https://en.wikipedia.org/wiki/Sam_Smith,A1512,S81267
57,2014,Record Of The Year,Meghan Trainor,Meghan Trainor,All About That Bass,All About That Bass,0,Meghan Trainor,https://en.wikipedia.org/wiki/Meghan_Trainor,A1532,S82683
